clas_gt,emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,joint_angles0,joint_angles1,joint_angles2,joint_angles3,joint_angles4,joint_angles5,joint_angles6,joint_angles7,joint_angles8,joint_angles9,joint_angles10,joint_angles11,joint_angles12,joint_angles13,joint_angles14
6,179,214,566,181,55,59,55,216,0.5850024223,0.1216414273,0.3761602342,0.3473375738,0.1880801171,0.3905715644,0.125061065,0.5195407867,0.5127015114,0.224963367,0.4286760986,0.5390815735,0.2970200181,0.3363458812,0.5481191874
6,179,211,582,175,52,53,51,204,0.5850024223,0.1216414273,0.3761602342,0.3473375738,0.1880801171,0.3905715644,0.125061065,0.5195407867,0.5127015114,0.224963367,0.4286760986,0.5390815735,0.2970200181,0.3363458812,0.5481191874
6,95,147,476,243,72,62,55,126,0.5850024223,0.1216414273,0.3678553998,0.3473375738,0.1880801171,0.3827552497,0.125061065,0.5195407867,0.5229604244,0.224963367,0.4286760986,0.5390815735,0.2970200181,0.3363458812,0.5564240217
6,105,167,473,193,60,40,64,71,0.5930629969,0.1216414273,0.3678553998,0.3473375738,0.1880801171,0.4035173357,0.1167562306,0.5195407867,0.5312652588,0.224963367,0.4286760986,0.5476306677,0.2970200181,0.3273082674,0.5564240217
6,194,181,537,208,82,127,299,179,0.6011235714,0.1299462616,0.3678553998,0.3473375738,0.1961406916,0.4482169151,0.1167562306,0.5273571014,0.5312652588,0.224963367,0.4286760986,0.5476306677,0.2970200181,0.3273082674,0.5647288561
6,110,135,513,211,82,60,104,80,0.6287249923,0.1218856871,0.39716658,0.3390327394,0.1961406916,0.5097703934,0.1372740567,0.536883235,0.5400586128,0.2425500751,0.454323411,0.5476306677,0.2970200181,0.3273082674,0.5647288561
6,128,116,329,179,70,44,44,58,0.6460674405,0.1130923331,0.414753288,0.3390327394,0.2046897858,0.5505617857,0.1458231509,0.5449438095,0.548607707,0.2425500751,0.454323411,0.5476306677,0.2970200181,0.3353688419,0.5564240217
6,80,152,377,145,52,43,42,53,0.6460674405,0.1130923331,0.414753288,0.3390327394,0.2046897858,0.575232029,0.1458231509,0.5449438095,0.548607707,0.2425500751,0.454323411,0.5476306677,0.2970200181,0.3353688419,0.5564240217
6,63,170,403,128,65,43,35,39,0.6382511258,0.1130923331,0.4228138626,0.3390327394,0.2225207686,0.5925744772,0.1548607647,0.5449438095,0.575232029,0.2625793815,0.4623839855,0.5476306677,0.2970200181,0.3353688419,0.5564240217
6,63,150,431,154,63,43,31,42,0.6382511258,0.1130923331,0.4228138626,0.3390327394,0.2225207686,0.5925744772,0.1629213542,0.5449438095,0.575232029,0.2625793815,0.4623839855,0.5476306677,0.2970200181,0.3353688419,0.5647288561
